Timestamp,Age,Gender,Country,family_history,treatment,no_employees,remote_work,tech_company,care_options,leave,mental_health_consequence,phys_health_consequence,mental_vs_physical,obs_consequence
2014-08-27 19:17:00,65,Male,United States,No,No,Jun-25,Yes,No,No,Very easy,Maybe,No,Yes,No
2014-08-27 13:54:00,41,Male,United States,No,Yes,26-100,Yes,Yes,Yes,Very easy,No,No,Yes,No
2014-08-27 11:43:00,18,Male,Netherlands,No,No,Jun-25,No,Yes,Not sure,Somewhat difficult,Yes,Maybe,No,No
2014-08-29 11:20:00,40,Male,United States,Yes,Yes,More than 1000,Yes,Yes,Yes,Don't know,Yes,No,Don't know,No
2014-08-27 22:55:00,30,Female,United States,Yes,Yes,01-May,Yes,No,Yes,Somewhat difficult,No,No,Yes,No
2014-08-27 14:27:00,22,Female,United States,Yes,Yes,More than 1000,No,Yes,Yes,Somewhat easy,Maybe,No,Yes,Yes
2014-08-28 08:43:00,45,Male,United States,No,Yes,01-May,Yes,Yes,Not sure,Very easy,No,No,Yes,No
2015-08-20 16:52:00,29,Male,United States,Yes,Yes,100-500,Yes,Yes,Yes,Don't know,Yes,No,No,No
2014-08-27 13:08:00,30,Male,Germany,No,Yes,Jun-25,Yes,Yes,Yes,Very difficult,No,No,Yes,No
2014-08-27 12:43:00,36,Male,United Kingdom,No,Yes,More than 1000,No,No,Yes,Somewhat easy,Maybe,Maybe,Don't know,Yes
2014-08-27 20:55:00,33,Male,United States,Yes,No,Jun-25,Yes,Yes,Not sure,Very easy,No,No,Yes,No
2014-08-27 15:35:00,24,Male,United States,Yes,Yes,100-500,No,Yes,Yes,Somewhat difficult,Yes,No,No,Yes
2014-08-29 11:20:00,33,Male,United States,No,No,Jun-25,Yes,Yes,No,Don't know,No,No,Yes,No
2014-08-27 16:42:00,33,Female,United States,No,Yes,500-1000,Yes,Yes,Yes,Very easy,No,No,Don't know,No
2014-08-29 23:51:00,45,Male,United States,No,No,Jun-25,Yes,Yes,No,Don't know,Yes,Maybe,Don't know,No
2014-08-27 17:56:00,22,Female,United States,Yes,Yes,500-1000,No,Yes,Yes,Don't know,No,No,No,Yes
2014-08-27 19:27:00,33,Male,Australia,No,No,More than 1000,No,Yes,Not sure,Very easy,No,No,Yes,No
2014-08-27 20:13:00,23,Male,United States,Yes,Yes,01-May,No,Yes,Yes,Don't know,Maybe,No,Yes,No
2014-08-27 15:44:00,33,Female,United States,No,No,100-500,Yes,Yes,No,Don't know,No,No,Yes,No
2014-08-27 15:40:00,20,Male,Australia,No,No,100-500,Yes,Yes,Not sure,Very easy,No,No,Don't know,No
2014-08-28 11:47:00,27,Female,United States,No,Yes,100-500,No,Yes,Not sure,Somewhat easy,Yes,No,No,No
2014-08-27 16:15:00,57,Male,United States,No,Yes,More than 1000,No,Yes,Not sure,Don't know,Maybe,Maybe,Don't know,No
2014-11-16 08:42:00,38,Male,United States,Yes,Yes,26-100,Yes,Yes,No,Don't know,Maybe,No,Don't know,No
2014-08-27 15:43:00,23,Female,United States,No,Yes,26-100,No,Yes,Yes,Don't know,Maybe,No,Don't know,No
2014-08-27 14:22:00,26,Male,Canada,Yes,Yes,Jun-25,No,Yes,No,Don't know,Maybe,No,Yes,No
2014-08-29 12:20:00,25,Male,South Africa,Yes,Yes,Jun-25,No,No,No,Don't know,No,No,No,Yes
2014-08-27 14:58:00,29,Male,United States,No,No,01-May,Yes,Yes,Yes,Very easy,No,No,Yes,No
2014-08-28 08:06:00,35,Male,Canada,Yes,No,26-100,No,Yes,No,Don't know,Maybe,Maybe,No,No
2015-08-17 09:38:00,36,Male,South Africa,Yes,Yes,100-500,No,No,Yes,Somewhat easy,No,No,Yes,No
2015-07-27 23:25:00,30,Male,United States,Yes,Yes,26-100,No,Yes,Not sure,Don't know,No,No,Yes,No
2014-08-27 18:41:00,32,Male,New Zealand,No,Yes,Jun-25,No,Yes,No,Very easy,No,No,Don't know,No
2014-08-27 12:31:00,28,Male,United States,No,Yes,26-100,No,Yes,Yes,Somewhat easy,No,No,Yes,No
2014-08-27 15:55:00,36,Male,United States,No,No,More than 1000,No,Yes,No,Somewhat easy,No,No,Don't know,No
2014-08-28 19:03:00,30,Male,United Kingdom,No,Yes,26-100,No,Yes,No,Somewhat difficult,Yes,Maybe,No,No
2014-08-28 21:47:00,34,Male,United States,No,No,01-May,No,Yes,No,Very easy,No,No,Yes,No
2014-08-27 12:02:00,23,Male,United Kingdom,No,No,26-100,No,Yes,Not sure,Very easy,No,No,Yes,No
2014-08-31 04:31:00,37,Male,Netherlands,Yes,No,Jun-25,No,Yes,No,Somewhat easy,Maybe,No,Yes,No
2014-08-28 10:54:00,37,Male,Australia,Yes,Yes,26-100,No,Yes,Yes,Very easy,No,No,Yes,Yes
2014-08-27 12:00:00,28,Male,Germany,No,No,Jun-25,Yes,Yes,No,Very easy,No,No,Yes,No
