Timestamp,Age,Gender,Country,family_history,treatment,no_employees,remote_work,tech_company,care_options,leave,mental_health_consequence,phys_health_consequence,mental_vs_physical,obs_consequence
2014-08-27 11:29:00,37,Female,United States,No,Yes,Jun-25,No,Yes,Not sure,Somewhat easy,No,No,Yes,No
2014-08-27 11:29:00,44,Male,United States,No,No,More than 1000,No,No,No,Don't know,Maybe,No,Don't know,No
2014-08-27 11:29:00,32,Male,Canada,No,No,Jun-25,No,Yes,No,Somewhat difficult,No,No,No,No
2014-08-27 11:29:00,31,Male,United Kingdom,Yes,Yes,26-100,No,Yes,Yes,Somewhat difficult,Yes,Yes,No,Yes
2014-08-27 11:30:00,31,Male,United States,No,No,100-500,Yes,Yes,No,Don't know,No,No,Don't know,No
2014-08-27 11:31:00,33,Male,United States,Yes,No,Jun-25,No,Yes,Not sure,Don't know,No,No,Don't know,No
2014-08-27 11:31:00,35,Female,United States,Yes,Yes,01-May,Yes,Yes,No,Somewhat difficult,Maybe,Maybe,Don't know,No
2014-08-27 11:32:00,39,Male,Canada,No,No,01-May,Yes,Yes,Yes,Don't know,No,No,No,No
2014-08-27 11:32:00,42,Female,United States,Yes,Yes,100-500,No,Yes,Yes,Very difficult,Maybe,No,No,No
2014-08-27 11:32:00,23,Male,Canada,No,No,26-100,No,Yes,No,Don't know,No,No,Yes,No
2014-08-27 11:32:00,31,Male,United States,No,Yes,Jun-25,Yes,Yes,No,Don't know,No,No,Don't know,No
2014-08-27 11:32:00,29,Male,Bulgaria,No,No,100-500,Yes,Yes,Not sure,Don't know,No,No,Don't know,No
2014-08-27 11:33:00,42,Female,United States,Yes,Yes,26-100,No,No,Yes,Somewhat difficult,Yes,Yes,No,Yes
2014-08-27 11:33:00,36,Male,United States,Yes,No,500-1000,No,Yes,Not sure,Don't know,No,No,Don't know,No
2014-08-27 11:33:00,27,Male,Canada,No,No,Jun-25,No,Yes,Not sure,Somewhat easy,No,No,Yes,No
2014-08-27 11:34:00,29,Female,United States,Yes,Yes,26-100,No,Yes,Not sure,Somewhat easy,No,No,Don't know,No
2014-08-27 11:34:00,23,Male,United Kingdom,No,Yes,26-100,Yes,Yes,No,Very easy,Maybe,No,No,No
2014-08-27 11:34:00,32,Male,United States,No,Yes,Jun-25,No,Yes,Yes,Don't know,Maybe,No,No,No
2014-08-27 11:34:00,46,Male,United States,Yes,No,01-May,Yes,Yes,Not sure,Very easy,No,No,Yes,Yes
2014-08-27 11:35:00,36,Male,France,Yes,No,Jun-25,Yes,Yes,No,Somewhat easy,No,No,Don't know,No
2014-08-27 11:35:00,29,Male,United States,Yes,Yes,100-500,No,Yes,Yes,Somewhat difficult,Maybe,No,No,No
2014-08-27 11:35:00,31,Male,United States,No,No,01-May,Yes,Yes,No,Somewhat difficult,No,No,Yes,No
2014-08-27 11:35:00,46,Male,United States,No,Yes,26-100,Yes,Yes,Yes,Don't know,Maybe,No,No,No
2014-08-27 11:36:00,41,Male,United States,No,Yes,More than 1000,No,No,No,Don't know,Maybe,No,Don't know,No
2014-08-27 11:36:00,33,Male,United States,Yes,Yes,26-100,No,Yes,Not sure,Don't know,No,No,Don't know,No
2014-08-27 11:37:00,35,Male,United States,Yes,Yes,More than 1000,No,No,Yes,Very easy,Yes,No,No,No
2014-08-27 11:37:00,33,Male,United States,No,No,01-May,No,Yes,Not sure,Don't know,Maybe,Maybe,Don't know,No
2014-08-27 11:37:00,35,Female,United States,Yes,Yes,Jun-25,Yes,Yes,Yes,Don't know,No,No,Yes,No
2014-08-27 11:38:00,34,Male,United States,No,Yes,26-100,Yes,Yes,Not sure,Somewhat difficult,No,No,No,No
2014-08-27 11:38:00,37,Male,United Kingdom,No,No,Jun-25,No,Yes,No,Very difficult,Yes,Maybe,No,No
2014-08-27 11:39:00,32,Male,United Kingdom,No,No,Jun-25,Yes,Yes,No,Don't know,Yes,Yes,No,No
2014-08-27 11:38:00,31,Male,United States,Yes,No,01-May,Yes,Yes,Yes,Somewhat difficult,Yes,No,No,Yes
2014-08-27 11:39:00,30,Male,United Kingdom,Yes,Yes,500-1000,Yes,Yes,No,Somewhat easy,Maybe,No,Don't know,No
2014-08-27 11:39:00,42,Male,United States,Yes,Yes,26-100,Yes,Yes,Yes,Very easy,Maybe,No,Don't know,No
2014-08-27 11:40:00,40,Female,United States,No,Yes,01-May,No,Yes,Yes,Don't know,Maybe,No,Yes,No
2014-08-27 11:41:00,27,Male,United States,No,Yes,Jun-25,No,Yes,Yes,Very easy,No,No,Don't know,No
2014-08-27 11:41:00,29,Male,Canada,No,No,01-May,No,Yes,No,Very easy,Yes,Maybe,Don't know,No
2014-08-27 11:41:00,38,Male,Portugal,No,No,100-500,No,Yes,Yes,Somewhat easy,Maybe,No,No,No
2014-08-27 11:42:00,50,Male,United States,No,No,100-500,No,Yes,Yes,Don't know,No,No,Don't know,No
2014-08-27 11:42:00,35,Male,United States,No,Yes,More than 1000,Yes,Yes,Yes,Very easy,No,No,Yes,No
2014-08-27 11:42:00,24,Male,United Kingdom,No,Yes,Jun-25,No,Yes,No,Don't know,Maybe,Maybe,No,Yes
2014-08-27 11:42:00,35,Male,United States,No,No,More than 1000,Yes,Yes,Not sure,Somewhat difficult,Yes,Yes,Don't know,No
2014-08-27 11:43:00,27,Male,Canada,Yes,Yes,01-May,No,Yes,Yes,Very difficult,Maybe,No,Yes,No
2014-08-27 11:43:00,18,Male,Netherlands,No,No,Jun-25,No,Yes,Not sure,Somewhat difficult,Yes,Maybe,No,No
2014-08-27 11:43:00,30,Male,United States,No,Yes,26-100,No,Yes,No,Don't know,No,No,Don't know,No
2014-08-27 11:43:00,38,Female,United States,Yes,Yes,26-100,No,Yes,Yes,Somewhat easy,No,No,Yes,No
2014-08-27 11:43:00,28,Male,United Kingdom,No,No,26-100,No,Yes,Not sure,Don't know,No,Maybe,Don't know,No
2014-08-27 11:43:00,34,Male,United States,No,No,Jun-25,No,Yes,No,Don't know,No,No,Don't know,No
2014-08-27 11:43:00,26,Male,Canada,No,No,01-May,No,Yes,Yes,Don't know,No,No,Yes,No
2014-08-27 11:44:00,30,Male,United States,Yes,Yes,26-100,No,Yes,No,Don't know,Maybe,No,Don't know,No
2014-08-27 11:44:00,22,Male,United States,Yes,Yes,Jun-25,No,Yes,Yes,Very difficult,Maybe,No,Don't know,No
2014-08-27 11:45:00,33,Male,United States,No,No,100-500,Yes,Yes,Not sure,Don't know,No,No,Don't know,No
2014-08-27 11:45:00,31,Male,United States,No,No,100-500,Yes,Yes,No,Don't know,Maybe,Maybe,Don't know,No
2014-08-27 11:45:00,32,Male,United States,No,No,01-May,Yes,Yes,Not sure,Don't know,Maybe,No,Don't know,No
2014-08-27 11:46:00,28,Male,Switzerland,No,No,100-500,No,Yes,No,Don't know,No,No,Don't know,No
2014-08-27 11:47:00,24,Male,United States,Yes,Yes,26-100,Yes,Yes,No,Don't know,No,Maybe,No,No
2014-08-27 11:47:00,26,Male,United States,No,No,26-100,No,No,No,Somewhat easy,No,No,Don't know,No
2014-08-27 11:47:00,33,Male,Canada,Yes,Yes,Jun-25,Yes,Yes,No,Somewhat difficult,Yes,No,Don't know,No
2014-08-27 11:48:00,44,Male,United States,Yes,Yes,More than 1000,No,No,No,Don't know,Yes,Maybe,Don't know,Yes
2014-08-27 11:49:00,26,Female,Poland,No,Yes,26-100,Yes,Yes,Not sure,Very easy,No,No,Yes,No
2014-08-27 11:50:00,27,Male,United Kingdom,No,No,100-500,No,Yes,Not sure,Somewhat easy,No,No,Yes,No
2014-08-27 11:50:00,26,Male,France,No,No,26-100,No,Yes,No,Very easy,Yes,No,No,Yes
2014-08-27 11:50:00,35,Male,Canada,No,No,Jun-25,No,Yes,No,Somewhat easy,No,No,Don't know,No
2014-08-27 11:51:00,40,Male,United States,Yes,No,More than 1000,Yes,Yes,Yes,Don't know,Yes,Maybe,No,Yes
2014-08-27 11:51:00,23,Female,Australia,Yes,Yes,01-May,Yes,Yes,Not sure,Very easy,No,No,Yes,No
2014-08-27 11:52:00,36,Male,United States,No,No,100-500,Yes,Yes,No,Don't know,Maybe,No,Yes,No
2014-08-27 11:52:00,31,Female,United States,No,No,26-100,Yes,No,No,Don't know,Maybe,No,Don't know,No
2014-08-27 11:52:00,34,Male,United States,No,No,01-May,Yes,Yes,No,Don't know,Maybe,No,Don't know,No
2014-08-27 11:53:00,28,Male,France,No,No,26-100,No,Yes,No,Don't know,Maybe,No,Don't know,No
2014-08-27 11:53:00,34,Male,Canada,No,No,Jun-25,No,Yes,Not sure,Somewhat easy,No,No,Don't know,No
2014-08-27 11:56:00,38,Male,United Kingdom,No,No,26-100,No,Yes,No,Somewhat easy,No,No,Yes,No
2014-08-27 11:56:00,33,Male,United States,No,No,More than 1000,No,Yes,Not sure,Don't know,Maybe,No,Yes,No
2014-08-27 11:57:00,19,Male,United Kingdom,No,No,01-May,No,Yes,Yes,Somewhat difficult,Yes,No,No,No
2014-08-27 11:57:00,25,Male,United States,No,No,More than 1000,Yes,Yes,Yes,Don't know,No,No,Yes,No
2014-08-27 11:57:00,31,Male,United States,Yes,No,01-May,Yes,Yes,No,Somewhat difficult,No,No,Yes,No
2014-08-27 11:59:00,32,Male,United States,Yes,Yes,26-100,Yes,Yes,No,Somewhat difficult,Yes,No,No,No
2014-08-27 12:00:00,28,Male,Germany,No,No,Jun-25,Yes,Yes,No,Very easy,No,No,Yes,No
2014-08-27 12:01:00,38,Male,United States,Yes,No,100-500,Yes,Yes,Yes,Don't know,No,No,Yes,No
2014-08-27 12:02:00,23,Male,United Kingdom,No,No,26-100,No,Yes,Not sure,Very easy,No,No,Yes,No
2014-08-27 12:02:00,30,Male,Canada,No,No,26-100,No,No,No,Don't know,No,No,No,No
2014-08-27 12:03:00,27,Female,United States,No,Yes,01-May,Yes,Yes,Yes,Very easy,Maybe,Maybe,Yes,No
2014-08-27 12:05:00,33,Male,United States,Yes,No,More than 1000,No,Yes,No,Don't know,Yes,No,No,No
2014-08-27 12:05:00,31,Male,United States,No,No,26-100,No,Yes,Not sure,Don't know,No,No,No,No
2014-08-27 12:07:00,39,Male,United Kingdom,No,Yes,Jun-25,No,Yes,No,Very difficult,Maybe,No,No,Yes
2014-08-27 12:10:00,34,Female,United States,Yes,Yes,500-1000,Yes,Yes,Not sure,Don't know,Yes,Maybe,Don't know,No
2014-08-27 12:11:00,29,Female,United States,No,Yes,26-100,No,Yes,Yes,Don't know,Maybe,No,No,Yes
2014-08-27 12:11:00,32,Male,United States,No,No,500-1000,No,Yes,No,Don't know,No,No,Don't know,No
2014-08-27 12:12:00,31,Male,United States,No,No,500-1000,No,Yes,Yes,Somewhat easy,No,No,Yes,No
2014-08-27 12:13:00,40,Male,United States,No,Yes,26-100,No,Yes,Yes,Very difficult,No,No,No,No
2014-08-27 12:14:00,34,Male,United States,No,No,26-100,No,Yes,No,Somewhat easy,Maybe,No,Don't know,No
2014-08-27 12:15:00,25,Female,Canada,No,Yes,26-100,No,Yes,Yes,Don't know,Maybe,No,Don't know,No
2014-08-27 12:15:00,29,Male,United States,No,No,26-100,No,Yes,No,Don't know,No,No,No,No
